"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000012020";"926267";"SECRETARIA DE EST.DE TRANSPORTE E MOBILIDADE";"-99";"Pregão - Registro de Preço";"00090-00001906/20";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada de engenharia para manutenção, reparação, fornecimento e execução de abrigo de passageiros de ônibus e acessibilidade, na área atendida pelo Sistema de Transporte Público do Distrito Federal, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.";"Evento de Alteração Divulgado";"99900";"REPUBLICA FEDERATIVA DO BRASIL";"97400";"DISTRITO FEDERAL";"Inválido";"02/08/2021";"13/07/2020";"16669882,6200"
"000012020";"373053";"SUPERINTEND.ESTADUAL DA BAHIA-INCRA/SR-05";"5";"Pregão";"54000.170695/2019";"Objeto: Pregão Eletrônico -  Contratação de serviços de Leiloeiro oficial para preparação, organização e condução de  Leilão público, destinados a alienação de bens móveis inservíveis pertencentes ao  patrimônio do Instituto Nacional de Colonização e Reforma Agrária   INCRA/BA  conforme condições, quantidades e exigências estabelecidas neste Edital e seus  anexos.";"Evento de Alteração Publicado";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma A";"SALVADOR";"05/08/2021";"16/07/2021";"100,0000"
"000012021";"927528";"COMPANHIA IMOBILIARIA DO ESTADO DO TOCANTINS";"-99";"Pregão - Registro de Preço";"20219991100047";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada para gerenciamento de abastecimento, implantação e operação de um sistema informatizado / integrado com utilização de cartão magnético via WEB, que permita o fornecimento de combustíveis (gasolina comum, gasolina aditivada, etanol, diesel comum e diesel S10), através da rede de postos credenciados";"Divulgado";"99900";"REPUBLICA FEDERATIVA DO BRASIL";"93720";"ESTADO DE TOCANTINS";"Inválido";"05/08/2021";"21/07/2021";"213000,0000"
"000012021";"926938";"PREFEITURA MUNICIPAL DE VASSOURAS";"-99";"Pregão - Registro de Preço";"388/2020";"Objeto: Pregão Eletrônico -  Registro de Preços para futura e eventual Aquisição de materiais de limpeza para atender às necessidades das Unidades Escolares, bem como a Secretaria Municipal de Educação, do município de Vassouras-RJ.";"Divulgado";"99900";"REPUBLICA FEDERATIVA DO BRASIL";"95320";"ESTADO DO RIO DE JANEIRO";"Inválido";"06/08/2021";"26/03/2021";"16170,0000"
"000012021";"928185";"EMPRESA MUN.DE URBANISMO DE SÃO J.DO R.PRETO";"5";"Pregão";"014/2021";"Objeto: Pregão Eletrônico -  Ata de Registro de Preços para Aquisição de Produtos de Limpeza";"Divulgado";"99900";"REPUBLICA FEDERATIVA DO BRASIL";"95420";"ESTADO DE SAO PAULO";"Inválido";"05/08/2021";"12/07/2021";"113266,9000"
"000012021";"928152";"FUNDO MUNICIPAL DE SAUDE DE VARGEM ALTA";"5";"Pregão";"1859";"Objeto: Pregão Eletrônico -  Contratação de empresa para fornecimento de marmitex acondicionada em embalagem de isopor e refrigerantes, para atender aos funcionários que estarão participando das campanhas de vacinação humana e animal no ano de 2021 no Município de Vargem Alta/ES.";"Divulgado";"99900";"REPUBLICA FEDERATIVA DO BRASIL";"95220";"ESTADO DO ESPIRITO SANTO";"Inválido";"06/08/2021";"08/07/2021";"0,0000"
"000012021";"926810";"CONSELHO REG CONTABILIDADE DO MARANHÃO";"5";"Pregão";"2020/000142";"Objeto: Pregão Eletrônico -  O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de empresa especializada para prestação de serviços de vigilância patrimonial armada, diurna e noturna, que compreenderá, além da mão de obra em regime de dedicação exclusiva, o fornecimento de todos os insumos e materiais necessários à plena execução do serviço a ser prestado na sede do Conselho Regional de Contabilidade do Maranhão   CRCMA, em São Luís/MA, conforme condições, quan";"Evento de Alteração Divulgado";"99900";"REPUBLICA FEDERATIVA DO BRASIL";"94120";"ESTADO DO MARANHAO";"Inválido";"04/08/2021";"04/05/2021";"195312,0000"
"000012021";"927885";"INSTITUTO DE PREV.DO SERV.MUNIC.DE DIADEMA";"5";"Pregão";"207/2021";"Objeto: Pregão Eletrônico -  Contratação de empresa para prestação dos serviços de publicação de atos oficiais, publicidade e outros assuntos de interesse do Instituto de Previdência do Servidor Municipal de Diadema -IPRED.";"Evento de Alteração Divulgado";"99900";"REPUBLICA FEDERATIVA DO BRASIL";"95420";"ESTADO DE SAO PAULO";"Inválido";"05/08/2021";"27/07/2021";"9,6100"
"000012021";"928086";"CONSELHO REGIONAL DE EDUC.FISICA 13 REGIÃO";"6";"Dispensa de Licitação";"025";"Objeto: Aquisição de 01 (um) forno tipo Micro-ondas, cor Cinza, capacidade de 32L, 110v; Aquisição de 01 (uma) Cafeteira Elétrica Automática 2 Litros;  Aquisição de 01 (um) forno tipo elétrico, cor cinza, capacidade de 36L, 110v;  Aquisição de 03 (três) Garrafas Térmicas, capacidade de 1,8L, Pressão Inox   Termolar; Aquisição de 02 (duas) Garrafas Térmicas, capacidade de 1L, Pressão Inox   Termolar;";"Encerrado";"38764";"CONSELHO FEDERAL DE EDUCAÇÃO FÍSICA";"38764";"CONSELHO FEDERAL DE EDUCAÇÃO FÍSICA";"Inválido";"06/08/2021";"";"2288,9800"
"000012021";"110101";"GABINETE DA VICE-PRESIDENCIA DA REPUBLICA";"6";"Dispensa de Licitação";"00300.000899/2021";"Objeto: Colchão King Size/SuperKing Size de medidas:193cmX203cmX36cm (CxLxA), Colchão King Size/SuperKing Size, Tipo conforto: Firm,  Pillow top quadrado. Malha capa naturalmente hipoalergênica com viscose de bambu e fios de carbono com, aprox. 84,8% Poliéster, 13% viscose, 2% viscose bambu e 0,19% fio intense. Espumas tecnológicas viscoelástico e látex de alta densidade. Lâmina de Espuma D33 em tecido jacquard robusto com, aproximadamente, 70% poliéster e 30% Faixa lateral poliuretano...";"Encerrado";"20000";"Presidência da República";"60000";"Gabinete da Vice-Presidência da República";"BRASILIA";"05/08/2021";"22/07/2021";"4880,0000"
